@USER @USER Yeah he is	NOT	@USER @USER Yeah he is
@USER @USER @USER I'm assuming that @USER is a proponent of gun control . The argument for gun control is the threat of being shot . She then goes on to accuse people who open or conceal carry of being scared of a hypothetical fear of being shot . It's a hypocritical statement	OFF	@USER @USER @USER I'm assuming that @USER is a proponent of gun control.  The argument for gun control is the threat of being shot.  She then goes on to accuse people who open or conceal carry of being scared of a hypothetical fear of being shot.  It's a hypocritical statement
@USER you are not the true Columbia Bugle . Gfy	NOT	@USER you are not the true Columbia Bugle. Gfy
@USER @USER There ain't no MAGA hats sold here but that don't stop me from wanting to MAGA .	NOT	@USER @USER There ain't no MAGA hats sold here but that don't stop me from wanting to MAGA.
@USER Lmao fuck u bae	OFF	@USER Lmao fuck u bae
@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room .	OFF	@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.
#LeviStrauss Takes Stand On #GunControl #CBS #SanFrancisco URL #NoMoreLevis #guns #NRA #USA @USER #GOP #libertarian #conservative	NOT	#LeviStrauss Takes Stand On #GunControl #CBS #SanFrancisco URL #NoMoreLevis #guns #NRA #USA @USER #GOP #libertarian #conservative
@USER #JustSayin ’ what the majority is thinking . More #FakeOutrage & #Lies from the #LunaticLeft . Never seen so many sore losers throwing temper-tantrums for almost 2 years now . Embarrassing ! #MAGA 🇺 🇸 URL	OFF	@USER #JustSayin’ what the majority is thinking. More #FakeOutrage &amp; #Lies from the #LunaticLeft. Never seen so many sore losers throwing temper-tantrums for almost 2 years now. Embarrassing! #MAGA 🇺  🇸 URL
@USER Democrats plan working !!! 😂	NOT	@USER Democrats plan working!!! 😂
@USER Tough crap Mazie ! There should be a Me Too " for men with false accusations against them as well as those hurt by Democrat lies , false accusations , biased government agencies , biased media sensationalism and Antifa bullies etc ...... "	OFF	@USER Tough crap Mazie! There should be a Me Too" for men with false accusations against them as well as those hurt by Democrat lies, false accusations, biased government agencies, biased media sensationalism and Antifa bullies etc......"
@USER Over 30 years worth of background checks under different Presidents and this one slipped through ? #KavanaughConfirmation #KavanaughWithdraw #KavanaughSCOTUS #maga	OFF	@USER Over 30 years worth of background checks under different Presidents and this one slipped through? #KavanaughConfirmation #KavanaughWithdraw #KavanaughSCOTUS #maga
@USER @USER I don’t think she needed any money to do this . I think she is so left wing that she thinks she is Joan of Arc . Now we have Spartacus and Joan .... who’s next on the agenda ?	NOT	@USER @USER I don’t think she needed any money to do this. I think she is so left wing that she thinks she is Joan of Arc. Now we have Spartacus and Joan....who’s next on the agenda?
@USER Fuckkk 😂 😂 I know I seen bitch that’s a slapper lmao	OFF	@USER Fuckkk  😂  😂 I know I seen bitch that’s a slapper lmao
@USER @USER Best female tennis player ever ? Arguably . Great player . She is starting to age and become less unbeatable .	NOT	@USER @USER Best female  tennis player ever? Arguably. Great player. She is starting to age and become less unbeatable.
@USER @USER @USER Everyone muted you ... Thanks for working for free 😂 😂 😂 #MAGA	NOT	@USER @USER @USER Everyone muted you ...  Thanks for working for free  😂  😂  😂  #MAGA
@USER Take your anti-American crap somewhere else . #TEDCRUZ for Senate !! #MAGA	OFF	@USER Take your anti-American crap somewhere else. #TEDCRUZ for Senate!! #MAGA
@USER @USER @USER Where is VAN ? She is ARMY who need to shazam the most you know ... 🔍 🐾 🐶 🐾 🔎	NOT	@USER @USER @USER Where is VAN? She is ARMY who need to shazam the most you know...  🔍  🐾  🐶  🐾  🔎
👀 PATRIOTS & ANONS 👀 💥 old SOROS is shopping again ! 💥 #MAGA #ConfirmKavanaugh #DeepState @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER URL	NOT	 👀 PATRIOTS &amp; ANONS 👀   💥 old SOROS is shopping again! 💥  #MAGA #ConfirmKavanaugh #DeepState @USER  @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER URL
#GunControl #BulletControl . California Tries New Tack on Gun Violence : Bullet Control via @USER URL	NOT	#GunControl #BulletControl.  California Tries New Tack on Gun Violence: Bullet Control   via @USER URL
@USER If the @USER really want to conserve everything that is great about the #UK then they really need to bury this #fracking nonsense & do everything possible to make us energy efficient & fossil fuel free . @USER please do the right thing ! @USER @USER	NOT	@USER If the @USER really want to conserve everything that is great about the #UK then they really need to bury this #fracking nonsense &amp; do everything possible to make us energy efficient &amp; fossil fuel free.  @USER please do the right thing!  @USER @USER
#prouduncle 😍 she is the finest cheerleader of them all 💙 te amo stinky butt 💝 URL	OFF	#prouduncle 😍 she is the finest cheerleader of them all 💙 te amo stinky butt 💝 URL
